,a_lane1_input,a_lane2_input,a_lane1_output,a_lane2_output,a_lane3_output,a_lane4_output,abd_lane_input_sum,a_jun_output_sum,b_lane1_input,b_lane2_input,b_lane1_output,b_lane2_output,b_lane3_output,b_lane4_output,bac_lane_input_sum,b_jun_output_sum,c_lane1_input,c_lane2_input,c_lane1_output,c_lane2_output,c_lane3_output,c_lane4_output,cbd_lane_input_sum,c_jun_output_sum,d_lane1_input,d_lane2_input,d_lane3_input,d_lane1_output,d_lane2_output,d_lane3_output,d_lane4_output,d_lane5_output,dac_lane_input_sum,d_jun_output_sum
2945,12,11,19,18,15,5,47,57,17,10,18,5,17,6,51,46,12,14,6,19,19,18,50,62,7,17,8,7,5,14,14,16,56,56
2946,15,10,13,14,10,9,42,46,8,10,13,12,11,17,45,53,12,9,9,19,15,8,38,51,9,5,6,16,8,12,6,9,47,51
2947,16,12,5,7,14,7,50,33,12,6,6,18,12,10,45,46,11,9,17,13,13,19,42,62,10,16,18,15,16,6,17,11,71,65
2948,15,18,8,11,13,8,54,40,6,7,7,12,9,16,40,44,12,5,17,12,6,16,38,51,15,10,15,19,16,5,7,13,67,60
2949,16,9,8,5,15,8,47,36,13,7,13,12,7,19,55,51,19,17,16,15,13,6,58,50,9,12,10,16,11,6,7,8,66,48
2950,19,12,8,9,16,12,52,45,15,18,11,7,14,5,67,37,15,12,14,6,18,15,48,53,6,6,6,15,8,14,14,18,52,69
2951,14,15,9,10,11,10,45,40,7,15,15,18,17,10,51,60,15,13,5,9,13,13,44,40,9,9,16,11,19,7,10,6,63,53
2952,10,14,19,7,13,17,45,56,7,12,5,11,16,7,38,39,9,12,5,12,6,18,42,41,14,18,14,13,12,18,7,5,65,55
2953,12,17,15,17,18,6,51,56,5,9,17,13,6,9,35,45,9,14,10,7,10,14,45,41,17,8,9,17,18,9,19,9,55,72
2954,9,18,8,10,15,11,49,44,12,14,10,9,14,5,50,38,15,10,15,14,14,10,47,53,10,5,13,10,7,8,7,15,52,47
2955,10,19,18,16,18,10,62,62,16,5,14,17,5,5,50,41,19,11,13,17,11,13,63,54,17,14,16,10,17,16,11,6,76,60
2956,9,15,7,9,12,16,47,44,17,8,6,18,19,10,42,53,8,9,9,18,10,12,40,49,6,10,6,19,16,14,16,19,39,84
2957,14,15,6,7,14,16,62,43,17,9,19,13,19,11,59,62,19,7,12,8,9,8,59,37,16,13,5,14,15,17,14,10,67,70
2958,7,13,6,19,6,9,41,40,7,19,11,7,18,8,49,44,16,16,5,17,13,6,53,41,14,7,17,18,12,14,6,14,61,64
2959,16,5,6,17,14,18,43,55,17,18,7,6,5,19,68,37,17,19,8,5,15,11,58,39,5,19,7,14,11,15,7,18,64,65
2960,5,16,12,7,17,14,36,50,5,15,6,8,18,14,41,46,16,12,18,15,5,18,43,56,10,10,8,12,18,16,10,5,49,61
2961,12,15,5,7,9,6,42,27,7,10,10,7,18,5,44,40,15,6,18,11,13,6,36,48,8,16,17,17,5,9,15,12,68,58
2962,12,18,6,9,7,8,54,30,19,9,19,12,9,19,47,59,7,14,14,15,14,13,45,56,5,15,16,6,12,15,6,11,55,50
2963,11,5,7,14,9,14,33,44,12,10,7,11,18,17,45,53,12,11,16,15,8,10,40,49,5,16,18,6,17,7,5,16,62,51
2964,7,15,10,15,6,8,46,39,16,18,8,14,8,9,51,39,10,15,10,5,8,8,49,31,8,6,9,5,9,5,18,12,40,49
2965,9,9,14,18,15,17,45,64,19,10,10,5,17,11,48,43,10,12,12,16,19,19,49,66,8,12,11,13,15,16,19,19,50,82
2966,17,16,12,11,11,10,60,44,8,10,16,10,7,19,41,52,6,5,13,17,12,18,38,60,19,9,13,13,6,9,6,8,64,42
2967,7,8,9,17,7,14,48,47,17,9,8,11,13,14,38,46,5,16,10,5,6,13,54,34,16,13,6,8,10,13,14,15,47,60
2968,14,10,14,14,17,16,48,61,7,8,9,8,7,8,42,32,13,5,12,14,9,5,42,40,17,12,8,16,7,15,11,19,64,68
2969,6,7,9,11,12,7,43,39,11,12,11,17,5,13,36,46,7,6,12,9,16,9,43,46,19,9,14,5,15,6,12,15,55,53
2970,19,11,17,12,16,17,59,62,18,12,11,17,7,18,55,53,6,10,14,12,19,7,45,52,11,10,19,8,6,18,9,19,65,60
2971,8,19,19,13,18,16,52,66,7,17,16,16,14,9,37,55,5,10,19,7,11,5,40,42,18,12,13,11,11,19,8,18,56,67
2972,5,7,7,12,6,17,36,42,5,8,9,11,16,13,29,49,11,19,16,15,5,9,54,45,19,11,9,10,9,9,14,14,55,56
2973,6,10,7,10,7,17,42,41,14,6,10,19,5,17,39,51,13,12,6,8,5,11,51,30,12,5,7,15,13,9,9,17,43,63
2974,14,15,10,10,11,5,55,36,15,12,7,11,18,8,60,44,19,9,5,16,18,11,54,50,11,11,11,7,18,7,18,8,66,58
2975,8,18,12,6,8,12,49,38,18,7,14,13,6,5,42,38,9,19,17,7,19,14,51,57,5,15,14,17,15,18,11,5,51,66
2976,16,9,15,7,13,7,47,42,8,9,13,15,19,12,40,59,7,12,14,6,10,18,41,48,14,18,8,9,19,11,9,18,63,66
2977,11,16,16,8,13,11,59,48,14,14,19,9,10,11,50,49,11,11,17,10,19,15,54,61,18,15,5,5,10,17,11,18,60,61
2978,7,12,7,19,5,18,40,49,10,6,19,18,12,9,35,58,12,17,9,6,16,16,50,47,11,10,16,8,18,10,7,8,56,51
2979,10,15,12,15,19,16,53,62,13,7,7,15,6,8,45,36,15,7,12,11,11,13,50,47,15,15,7,5,9,9,14,14,62,51
2980,7,8,17,12,8,17,28,54,6,16,5,12,5,15,45,37,16,10,18,19,10,6,39,53,7,6,5,12,10,18,8,15,41,63
2981,9,9,14,18,13,17,52,62,17,7,19,15,16,10,42,60,9,9,8,12,15,18,52,53,17,7,19,13,7,19,7,17,61,63
2982,16,16,14,13,19,6,52,52,12,5,11,16,18,6,38,51,5,6,10,11,8,7,31,36,8,16,19,5,18,18,12,17,64,70
2983,8,12,6,11,9,13,48,39,10,9,14,13,19,16,40,62,13,14,8,11,7,19,55,45,18,16,6,12,7,11,6,16,61,52
2984,15,6,14,15,15,13,45,57,12,13,18,19,19,11,49,67,9,6,9,8,8,8,39,33,12,14,6,6,15,7,6,15,56,49
2985,13,12,10,5,8,13,56,36,18,12,17,15,15,18,56,65,13,14,11,10,16,18,58,55,13,11,15,6,11,11,7,9,65,44
2986,17,10,13,18,13,7,49,51,6,11,15,7,17,7,46,46,12,12,9,6,16,11,46,42,16,14,13,10,7,7,15,13,72,52
2987,18,11,15,12,13,16,56,56,19,6,14,9,13,15,56,51,13,5,5,11,8,6,45,30,8,9,11,8,7,9,19,17,59,60
2988,7,8,14,7,6,11,32,38,7,8,9,16,18,15,38,58,16,8,10,7,16,19,41,52,10,14,12,12,18,6,16,16,59,68
2989,12,15,13,5,12,11,51,41,10,16,11,8,12,14,45,45,7,14,7,19,18,11,45,55,14,19,11,6,8,6,18,16,63,54
2990,5,15,13,13,17,17,40,60,15,14,10,12,16,8,53,46,19,10,10,16,12,11,49,49,5,9,8,12,8,14,5,7,46,46
2991,15,13,17,19,15,6,52,57,14,13,14,13,19,6,59,52,17,14,7,5,10,9,55,31,10,19,10,16,5,6,11,9,71,47
2992,8,19,13,9,5,12,52,39,17,12,8,8,8,13,53,37,16,9,11,14,6,14,50,45,8,8,5,16,8,7,9,9,45,49
2993,14,14,6,19,6,13,58,44,17,11,16,14,17,10,59,57,17,15,19,6,13,12,62,50,13,19,6,19,15,16,7,19,69,76
2994,12,16,5,5,9,15,62,34,18,19,13,8,14,17,59,52,10,7,7,10,7,13,51,37,16,11,9,7,8,14,18,10,58,57
2995,11,7,13,13,13,8,43,47,14,18,6,11,10,12,62,39,19,15,10,16,13,15,59,54,11,13,10,18,8,5,14,17,64,62
2996,8,17,13,9,12,13,46,47,16,14,14,6,5,13,54,38,16,17,14,15,13,11,54,53,5,9,17,5,11,9,18,8,55,51
2997,17,13,6,11,14,10,42,41,7,6,19,11,19,11,46,60,16,10,6,17,16,19,38,58,5,17,9,19,16,8,11,8,64,62
2998,12,11,17,12,19,10,52,58,16,7,12,8,17,8,52,45,17,14,6,12,9,11,60,38,13,9,7,18,12,7,11,17,58,65
2999,10,12,11,11,12,5,46,39,11,9,18,11,13,13,36,55,6,5,5,9,8,18,35,40,13,16,15,12,19,6,11,13,60,61
3000,10,5,19,15,6,19,42,59,10,13,15,11,18,5,47,49,14,15,6,18,16,18,56,58,17,16,7,17,8,15,5,13,64,58
3001,6,6,7,17,13,18,28,55,6,8,8,12,12,17,36,49,16,12,13,11,13,17,44,54,10,12,12,9,10,6,19,13,56,57
3002,11,17,8,18,10,12,54,48,13,14,6,5,11,17,48,39,10,8,11,13,10,12,44,46,13,11,19,14,16,10,13,11,64,64
3003,19,9,11,15,13,5,49,44,5,14,7,13,14,8,43,42,5,13,13,7,15,15,39,50,16,11,19,7,10,18,19,8,70,62
3004,9,12,18,12,11,7,35,48,5,10,16,18,12,6,40,52,16,16,6,11,8,13,46,38,9,14,6,13,19,5,16,19,54,72
3005,5,12,9,18,17,10,45,54,14,8,6,5,5,6,44,22,17,19,12,9,16,7,64,44,14,13,11,17,10,9,5,6,60,47
3006,17,14,14,5,9,8,52,36,5,19,11,8,18,15,55,52,14,16,7,10,12,17,51,46,16,9,13,5,12,19,6,14,69,56
3007,10,16,11,6,10,13,50,40,8,14,18,7,19,15,49,59,17,13,18,19,5,6,54,48,16,13,6,12,6,5,19,9,62,51
3008,15,6,14,9,11,15,45,49,15,12,9,13,6,12,55,40,13,14,12,16,10,18,51,56,9,9,8,6,12,19,5,12,54,54
3009,10,12,5,5,6,19,38,35,9,18,5,16,15,5,56,41,19,14,10,8,17,16,49,51,7,6,19,18,18,15,9,9,61,69
3010,6,5,19,5,7,19,38,50,14,18,8,9,7,15,54,39,16,18,10,5,17,7,61,39,13,19,19,17,18,11,9,11,73,66
3011,6,14,10,18,5,15,41,48,6,5,14,8,16,16,24,54,7,13,7,8,17,10,41,42,15,5,15,7,19,10,16,6,48,58
3012,6,10,11,15,10,6,29,42,8,7,9,8,11,15,30,43,9,16,11,19,17,14,38,61,5,15,15,15,7,12,8,8,50,50
3013,16,15,17,17,8,6,46,48,8,8,8,6,11,8,46,33,14,18,10,18,5,13,47,46,7,10,12,14,9,15,15,10,59,63
3014,7,11,13,13,9,11,37,46,9,16,11,6,18,13,44,48,12,7,6,8,15,18,38,47,10,13,14,13,11,11,14,12,56,61
3015,17,14,9,5,16,14,64,44,15,5,7,10,14,13,46,44,9,7,13,15,11,10,49,49,18,10,14,14,17,18,13,12,68,74
3016,14,12,10,6,11,7,48,34,5,8,9,5,9,8,35,31,8,19,13,16,15,18,49,62,17,12,19,9,9,19,9,15,70,61
3017,14,10,15,19,14,6,44,54,7,15,5,15,5,13,49,38,13,9,17,19,14,14,42,64,13,6,12,19,8,10,11,12,58,60
3018,6,7,10,12,13,16,37,51,7,12,5,6,11,11,31,33,6,7,11,18,12,11,37,52,17,14,11,11,19,5,8,13,54,56
3019,18,18,16,6,15,9,57,46,5,11,7,13,6,19,46,45,12,7,12,12,10,6,40,40,16,10,9,19,18,10,13,8,65,68
3020,11,17,9,13,18,5,55,45,9,16,13,14,5,18,44,50,8,11,19,5,16,8,46,48,18,15,10,19,10,13,11,8,62,61
3021,5,15,11,15,10,5,49,41,13,5,16,8,19,15,32,58,9,11,8,13,9,11,49,41,16,11,6,13,18,5,5,19,47,60
3022,18,13,8,11,14,9,44,42,8,19,15,14,7,19,52,55,7,5,19,9,12,5,25,45,5,6,19,8,14,19,12,7,55,60
3023,6,11,5,17,13,17,41,52,15,14,17,6,13,17,47,53,12,7,7,19,17,7,43,50,9,11,13,15,16,10,5,14,51,60
3024,14,14,9,7,9,13,53,38,19,15,7,9,7,16,64,39,16,14,9,11,13,15,55,48,6,13,9,19,5,5,5,7,58,41
3025,5,7,7,11,11,10,42,39,17,11,11,19,9,7,44,46,11,17,15,10,14,12,58,51,13,9,11,16,10,6,17,10,49,59
3026,9,5,17,5,8,11,41,41,15,17,5,9,19,17,46,50,5,12,15,11,9,17,44,52,12,17,6,12,19,6,8,8,49,53
3027,5,7,11,5,12,6,30,34,9,10,5,9,7,11,29,32,5,13,11,10,8,16,36,45,9,19,11,7,6,8,16,7,49,44
3028,18,10,9,8,8,19,46,44,13,18,14,8,5,11,65,38,16,14,7,11,12,11,48,41,5,18,19,8,17,11,6,14,76,56
3029,19,7,8,17,11,6,50,42,10,16,14,19,15,15,61,63,16,6,12,16,14,15,46,57,14,17,9,18,7,5,13,19,75,62
3030,18,9,8,16,18,18,52,60,6,15,7,10,15,9,55,41,16,5,5,5,10,18,46,38,19,5,13,18,6,18,12,10,71,64
3031,18,17,19,15,9,7,59,50,12,16,6,14,5,19,62,44,16,7,13,9,11,8,47,41,12,19,9,11,8,19,6,14,74,58
3032,7,12,14,10,18,6,41,48,5,12,5,18,12,13,36,48,12,10,5,12,19,19,44,55,17,18,10,16,16,11,16,9,64,68
3033,5,5,17,7,8,17,34,49,9,5,5,11,16,14,35,46,16,16,18,16,15,8,56,57,15,9,10,17,9,13,8,19,55,66
3034,5,19,6,15,10,13,56,44,17,16,19,7,10,19,49,55,11,6,7,12,8,11,49,38,15,16,6,8,14,9,17,19,53,67
3035,6,12,8,19,15,8,44,50,14,9,7,12,11,13,40,43,11,14,5,7,19,18,51,49,12,9,5,13,15,10,6,19,43,63
3036,5,5,17,7,11,5,37,40,18,19,7,15,10,7,51,39,9,8,17,13,7,7,44,44,9,16,8,9,12,9,18,18,47,66
3037,9,17,6,12,8,12,46,38,9,17,11,12,18,5,41,46,6,15,18,17,8,14,41,57,11,17,11,15,15,19,12,10,54,71
3038,5,13,16,6,10,6,33,38,8,9,18,17,19,10,34,64,12,5,18,16,14,18,32,66,7,6,10,7,18,17,7,19,40,68
3039,8,16,15,16,10,15,56,56,13,10,9,6,7,5,39,27,8,5,8,9,12,14,45,43,19,11,8,5,8,17,12,9,54,51
3040,19,19,17,16,19,19,63,71,13,18,17,16,17,16,65,66,15,10,8,19,17,19,50,63,12,8,11,17,18,8,14,8,65,65
3041,9,9,7,10,10,7,39,34,6,13,6,10,18,11,39,45,11,15,9,13,17,8,47,47,15,13,12,13,8,10,14,16,60,61
3042,18,15,13,11,16,10,54,50,8,18,17,17,18,7,63,59,19,18,18,7,11,5,58,41,13,5,9,6,7,14,10,5,64,42
3043,11,11,12,19,17,13,43,61,13,8,15,15,17,12,45,59,13,9,8,6,5,16,43,35,8,14,13,15,12,19,6,7,59,59
3044,5,12,14,8,15,19,41,56,12,7,15,10,17,9,43,51,19,6,8,14,9,11,49,42,12,11,18,12,19,12,16,10,65,69
3045,9,10,8,9,7,8,44,32,7,19,12,6,17,14,49,49,14,12,19,18,10,11,51,58,18,17,9,13,9,12,11,19,67,64
3046,7,6,10,7,7,7,38,31,13,11,15,17,10,7,41,49,10,11,8,16,6,13,46,43,12,16,17,10,13,8,17,16,62,64
3047,8,10,12,12,10,5,36,39,13,7,17,14,7,5,35,43,7,19,19,9,19,11,44,58,5,18,19,5,17,8,16,8,57,54
3048,8,14,19,14,7,12,53,52,13,7,12,16,15,15,34,58,6,12,7,13,7,18,49,45,18,16,13,9,5,5,16,14,61,49
3049,15,13,6,5,19,7,47,37,10,16,9,12,10,13,47,44,6,10,11,19,6,9,35,45,9,7,11,7,10,7,10,7,48,41
3050,13,17,7,15,14,12,60,48,13,9,13,7,16,9,53,45,18,10,16,18,19,18,58,71,17,12,16,16,6,5,9,17,76,53
3051,15,18,15,10,17,11,59,53,10,9,18,17,16,12,47,63,13,9,14,10,15,7,48,46,16,9,10,14,14,14,19,13,63,74
3052,5,18,9,12,15,19,43,55,6,16,16,16,13,16,35,61,8,9,10,12,9,14,37,45,14,7,10,6,11,5,12,6,44,40
3053,11,11,18,11,8,12,49,49,8,12,5,13,9,16,50,43,19,17,5,6,19,18,63,48,19,8,13,7,13,8,8,18,70,54
3054,8,13,7,8,10,14,34,39,8,10,17,19,19,19,38,74,12,15,14,17,18,13,40,62,5,17,14,9,12,13,8,12,56,54
3055,11,19,19,17,13,10,49,59,8,15,7,14,10,14,53,45,19,6,18,15,17,17,44,67,11,18,17,18,18,7,18,17,76,78
3056,6,18,9,14,18,19,50,60,15,9,7,7,19,14,39,47,9,7,17,13,14,7,42,51,11,5,8,14,6,13,15,16,39,64
3057,7,16,14,6,9,6,41,35,6,18,11,10,12,5,38,38,7,15,14,19,9,15,40,57,12,5,18,10,6,9,19,9,49,53
3058,15,12,11,11,15,14,48,51,15,10,14,8,15,10,48,47,8,16,5,7,9,8,45,29,6,5,13,5,16,9,19,10,47,59
3059,13,11,18,18,13,10,42,59,11,6,9,17,18,18,48,62,18,11,17,15,13,15,47,60,7,8,18,7,15,18,11,7,64,58
3060,5,11,10,16,15,15,33,56,10,7,18,14,5,16,41,53,19,12,9,11,10,17,48,47,7,16,9,11,6,7,6,5,56,35
3061,7,15,6,11,5,18,48,40,18,16,14,6,10,19,51,49,10,12,5,14,7,15,48,41,8,7,19,9,15,11,19,15,51,69
3062,5,14,15,13,19,17,39,64,15,5,6,13,15,16,35,50,10,11,12,14,12,19,41,57,5,6,5,12,6,11,12,6,31,47
3063,10,6,7,7,19,8,42,41,14,11,13,12,10,7,51,42,16,9,17,10,7,10,51,44,12,9,19,12,12,14,15,7,66,60
3064,19,11,12,16,17,19,45,64,5,19,17,16,6,16,59,55,16,17,13,11,19,14,48,57,10,18,16,12,10,11,18,7,79,58
3065,8,14,10,10,17,11,46,48,8,10,18,12,9,12,43,51,17,18,16,5,5,16,59,42,16,18,17,10,19,6,14,11,76,60
3066,8,11,9,13,8,6,41,36,7,7,7,18,13,14,36,52,14,19,15,19,8,8,55,50,15,10,12,8,9,14,15,11,59,57
3067,10,5,7,9,8,16,37,40,5,13,10,19,10,7,46,46,18,17,18,9,5,12,57,44,17,11,5,15,13,8,6,10,61,52
3068,5,13,11,11,11,8,29,41,5,16,9,10,6,5,34,30,8,10,16,5,10,7,29,38,6,14,11,18,15,12,9,9,44,63
3069,11,7,12,14,6,8,45,40,14,7,8,15,19,15,41,57,9,5,19,16,18,18,41,71,13,6,8,12,6,12,16,11,47,57
3070,17,17,7,17,16,18,51,58,7,14,18,11,5,17,44,51,6,16,15,6,7,6,39,34,10,7,12,9,19,15,12,7,52,62
3071,11,14,11,9,6,17,39,43,7,16,15,12,17,18,44,62,10,16,14,11,19,6,40,50,7,17,11,8,11,6,6,17,56,48
3072,18,11,15,5,12,11,59,43,15,6,5,10,18,5,45,38,6,7,18,12,16,9,43,55,15,9,5,10,11,12,17,19,53,69
3073,19,17,11,18,12,17,54,58,6,8,10,5,15,11,49,41,16,18,6,8,15,15,52,44,12,6,15,7,6,11,10,7,68,41
3074,8,8,14,15,13,19,40,61,14,13,19,12,18,12,51,61,16,10,10,11,18,9,50,48,10,8,8,16,16,5,7,18,50,62
3075,9,17,14,5,11,6,51,36,11,14,12,12,6,8,51,38,17,18,7,17,11,17,60,52,14,13,11,13,18,14,9,9,64,63
3076,18,12,19,15,5,13,55,52,7,9,15,13,15,9,40,52,6,10,14,17,12,10,41,53,18,15,17,8,11,18,7,14,74,58
3077,15,10,11,6,17,6,53,40,14,11,5,10,11,5,53,31,13,19,9,17,8,14,60,48,14,9,18,9,16,15,6,15,69,61
3078,7,14,8,19,15,11,36,53,5,6,11,13,19,19,31,62,13,8,17,14,15,17,36,63,10,19,9,14,16,12,7,9,58,58
3079,12,10,11,11,18,6,45,46,12,5,17,9,10,19,44,55,15,19,16,13,11,18,57,58,11,11,18,7,5,19,9,19,67,59
3080,12,6,18,13,5,5,36,41,6,10,10,15,8,7,37,40,9,19,19,18,9,19,46,65,12,7,8,5,8,12,11,18,48,54
3081,9,7,10,17,5,16,30,48,9,11,16,5,11,9,43,41,14,15,14,16,13,18,43,61,5,7,10,18,13,10,7,12,45,60
3082,13,17,19,17,15,15,50,66,7,9,15,13,14,17,40,59,11,6,10,5,15,16,37,46,13,18,6,13,15,19,17,17,61,81
3083,13,5,19,19,18,15,49,71,14,10,16,8,6,10,43,40,6,8,12,6,9,19,45,46,17,8,6,14,12,7,18,19,50,70
3084,17,6,6,10,13,10,43,39,9,9,10,7,5,6,46,28,11,6,15,5,16,15,37,51,11,9,16,7,7,5,9,10,64,38
3085,19,12,19,8,6,16,46,49,6,6,11,8,10,19,38,48,7,11,16,17,17,11,33,61,9,15,10,11,13,6,15,7,60,52
3086,14,13,13,11,8,9,48,41,9,12,19,5,15,6,44,45,9,17,13,15,17,13,47,58,12,10,13,11,14,11,5,19,58,60
3087,12,9,7,7,16,7,44,37,16,7,7,14,12,5,49,38,14,17,17,5,9,10,54,41,7,10,15,9,11,19,14,12,58,65
3088,5,17,15,17,9,15,49,56,17,11,5,15,12,7,43,39,10,15,19,10,18,17,52,64,10,10,6,13,10,11,9,16,41,59
3089,7,7,5,5,10,17,46,37,17,18,9,10,11,18,51,48,9,7,16,17,7,7,48,47,15,18,15,18,5,18,18,18,64,77
3090,14,18,19,15,13,15,60,62,12,16,18,18,11,11,58,58,16,7,17,17,18,17,51,69,16,12,11,17,13,18,17,12,69,77
3091,12,12,7,15,17,11,42,50,10,9,14,8,15,15,38,52,7,16,6,17,8,15,41,46,8,10,7,17,8,5,7,10,44,47
3092,18,10,5,13,10,10,49,38,8,7,17,16,7,5,46,45,13,13,7,14,7,12,47,40,13,16,7,18,19,11,5,9,67,62
3093,8,10,16,19,9,11,41,55,6,8,14,5,15,16,33,50,11,5,16,14,7,12,39,49,17,14,18,6,18,19,6,9,68,58
3094,16,14,17,14,9,12,54,52,8,10,14,19,12,5,47,50,13,13,9,13,12,19,50,53,16,9,18,14,16,17,7,12,72,66
3095,19,17,17,10,13,13,57,53,9,14,15,7,17,7,54,46,12,11,8,19,19,18,44,64,12,6,16,5,8,5,15,9,65,42
3096,15,19,12,9,19,16,63,56,16,7,10,8,15,11,44,44,6,16,10,18,15,18,51,61,13,10,8,10,10,16,8,13,52,57
3097,10,13,11,15,11,13,49,50,14,5,17,11,15,17,44,60,15,18,9,18,18,13,59,58,12,7,6,15,13,9,6,13,50,56
3098,17,16,19,13,15,12,53,59,7,5,16,17,13,13,43,59,14,6,17,11,19,11,40,58,13,18,11,7,15,6,10,16,73,54
3099,8,6,16,6,12,7,25,41,6,5,15,5,9,9,30,38,11,6,6,17,6,7,28,36,5,17,12,10,18,14,17,9,53,68
3100,17,19,6,5,12,16,57,39,5,11,6,5,10,17,38,38,5,8,6,19,15,15,34,55,16,5,7,17,15,18,13,15,50,78
3101,6,19,14,8,11,9,44,42,13,6,6,15,18,11,40,50,15,11,17,18,8,8,45,51,6,10,13,10,12,10,6,12,50,50
3102,8,17,17,8,8,18,45,51,12,17,19,18,13,16,42,66,5,13,12,14,6,12,38,44,8,5,17,6,9,14,8,10,43,47
3103,16,15,16,13,17,19,48,65,5,19,5,13,5,8,53,31,13,8,15,11,5,9,38,40,12,17,19,18,19,7,9,12,77,65
3104,15,12,19,18,5,9,40,51,7,13,9,8,16,8,44,41,9,7,11,16,11,19,29,57,6,6,16,11,7,16,10,6,52,50
3105,15,16,17,16,8,15,46,56,10,13,5,12,10,17,50,44,12,17,13,16,13,17,44,59,5,9,11,15,17,18,13,5,52,68
3106,6,9,10,8,6,13,47,37,18,8,19,9,11,14,37,53,5,5,8,7,19,14,42,48,14,6,9,8,14,12,10,17,40,61
3107,6,6,17,12,10,15,34,54,16,6,12,17,6,17,38,52,10,19,19,10,8,12,51,49,6,12,13,5,12,15,13,11,47,56
3108,5,8,10,18,9,7,25,44,7,7,7,6,13,12,36,38,17,9,9,11,17,16,38,53,5,14,19,17,12,15,11,17,60,72
3109,8,16,9,12,8,5,47,34,11,11,16,13,9,11,42,49,12,16,5,9,6,18,51,38,12,7,7,12,10,17,13,14,46,66
3110,8,7,18,6,17,16,35,57,6,7,13,12,15,13,29,53,8,9,18,8,8,6,37,40,14,19,12,5,10,7,15,11,61,48
3111,12,13,17,18,10,19,46,64,7,13,9,19,14,8,44,50,12,10,16,5,19,11,43,51,14,6,9,10,9,13,18,10,53,60
3112,19,19,12,19,18,7,62,56,17,15,19,5,8,14,65,46,14,15,12,13,18,7,53,50,7,6,12,8,19,18,6,19,58,70
3113,11,17,14,10,14,19,44,57,9,19,15,6,5,8,50,34,11,5,15,6,14,12,32,47,7,8,5,17,7,9,15,15,42,63
3114,6,19,9,6,14,10,55,39,18,7,18,15,5,17,49,55,18,9,8,17,18,12,57,55,12,6,14,9,18,12,8,10,56,57
3115,9,8,6,7,13,8,48,34,13,13,19,19,17,15,46,70,11,17,17,18,10,7,59,52,18,6,19,18,19,16,15,11,63,79
3116,5,15,15,12,16,9,53,52,15,5,18,19,19,7,38,63,13,11,5,18,17,14,57,54,18,8,17,11,18,19,14,10,61,72
3117,15,6,14,5,8,12,42,39,8,11,19,12,17,11,49,59,15,8,9,9,12,8,44,38,13,15,7,8,6,9,15,15,65,53
3118,5,12,15,13,11,5,35,44,10,13,11,6,8,19,36,44,8,14,6,5,12,5,40,28,8,8,13,14,8,6,13,17,42,58
3119,14,5,15,12,18,18,48,63,14,19,13,16,19,10,64,58,17,12,7,17,7,10,58,41,15,12,11,5,6,15,11,12,69,49
3120,19,15,13,9,12,9,70,43,17,15,14,15,18,18,63,65,12,13,15,19,10,15,61,59,19,10,15,5,5,19,11,8,75,48
3121,7,19,14,11,10,10,51,45,17,10,14,17,19,11,52,61,18,18,13,14,9,17,61,53,8,14,8,16,6,8,9,11,55,50
3122,7,8,19,13,14,19,43,65,10,13,11,13,12,7,37,43,7,9,8,7,13,17,44,45,18,13,7,6,19,5,13,15,52,58
3123,17,14,11,7,13,11,58,42,14,17,5,5,14,8,53,32,5,12,15,16,12,16,44,59,13,14,15,11,13,11,10,7,64,52
3124,13,11,17,9,12,14,49,52,8,16,7,8,9,13,42,37,5,15,6,6,8,14,45,34,17,15,13,9,11,6,5,14,63,45
3125,10,7,19,6,18,13,40,56,9,19,14,10,16,15,55,55,17,5,13,15,7,12,45,47,14,5,16,5,11,11,10,13,62,50
3126,19,6,5,11,14,8,52,38,12,6,10,11,11,6,49,38,12,7,12,10,15,13,46,50,15,16,6,18,6,11,9,10,68,54
3127,14,7,5,16,8,15,42,44,5,8,15,18,16,11,35,60,8,7,6,17,8,17,36,48,16,12,13,6,14,11,6,6,63,43
3128,5,13,5,9,10,12,35,36,7,17,17,10,10,10,46,47,17,8,19,12,10,9,42,50,10,18,14,6,13,17,15,15,64,66
3129,8,9,9,19,17,8,27,53,5,8,15,7,12,8,26,42,5,19,19,8,12,7,34,46,5,6,12,19,12,18,16,5,36,70
3130,12,6,17,8,15,12,47,52,11,17,8,9,7,8,48,32,8,14,18,17,18,19,51,72,18,6,10,6,6,5,6,17,54,40
3131,19,15,14,16,14,10,63,54,14,11,16,11,8,7,53,42,9,19,12,6,19,12,57,49,15,15,18,8,6,19,14,17,76,64
3132,7,5,19,10,5,15,29,49,11,5,8,14,11,5,33,38,10,6,9,12,11,14,33,46,6,19,17,9,10,5,19,5,59,48
3133,16,5,6,9,15,7,36,37,7,10,16,7,10,7,38,40,5,14,9,14,7,17,34,47,8,5,8,10,15,8,18,14,42,65
3134,13,15,18,7,7,11,53,43,12,12,12,5,10,17,42,44,5,17,9,17,14,12,47,52,13,11,18,17,5,19,10,5,60,56
3135,12,11,16,12,9,17,48,54,10,9,7,16,17,11,47,51,16,14,10,15,10,11,55,46,15,18,16,18,18,11,8,14,77,69
3136,10,12,11,14,9,8,51,42,11,12,18,15,17,11,45,61,12,7,10,19,11,18,48,58,18,11,7,10,10,17,14,6,58,57
3137,10,10,11,17,9,17,43,54,5,8,6,9,17,16,38,48,15,5,18,7,15,14,43,54,18,9,9,12,8,5,15,8,61,48
